id,title,region,full_address,email,phone,about
177,Spezia,Central,"3125 S 72nd St, Omaha, NE 68124",,(402) 391-2950,Cheers to an authentic Italian meal! Hearty Italian dishes are served with European style.
178,SPIN Neapolitan Pizza,South of Metro,"248 Olson Dr, Papillion, NE 68046",,(402) 935-7746,"SPIN! is a relaxed neighborhood spot for eating, drinking and hanging. Enjoy hand-spun pizzas topped with fresh ingredients made in true Neapolitan fashion - thin, crispy, bubbly and full of flavor."
179,Stokes Grill and Bar West,Northwest,"13615 California St, Omaha, NE 68154",stokeswest@stokes.omhcoxmail.com,(402) 498-0804,"Enjoy the flavor of the southwest. These hearty dishes are rich, flavorful and bold. Perfect family setting, party rooms, catering, large groups and team dinners!"
180,Sullivan's Steakhouse,Downtown / Old Market,"222 S 15th St, Omaha, NE 68102",,(520) 237-9004,"A 1940s styled steakhouse featuring the finest Nebraska grown steaks, fresh seafood and unparalleled martinis. Live jazz music is performed 7 nights a week in the lounge, and patio seating is available. Open for lunch M-Fri at 11am, dinner daily at 5pm. Lounge open until 1am."
181,Surfside Club,Northeast  / Airport,"14445 N River Rd, Omaha, NE 68112",,(402) 451-9642,"Here's the menu: fried chicken, fried catfish and corn fritters. Yes, this cozy, quirky joint specializes in three items and fans go crazy for them. Located on the banks of the Missouri River, Surfside offers fun fried food in a chill atmosphere."
182,Sweet Magnolias,Central,"813 N 40th St, Omaha, NE 68131",,(402) 934-6427,"At Sweet Magnolias, sweets are taken seriously. That's why each menu item is carefully crafted from scratch and baked fresh daily. Nothing trumps great taste!"
183,Sweet Magnolias Bake Shop,Downtown / Old Market,"1222 Nicholas St, Omaha, NE 68102",sweetmagnoliasbakeshop@gmail.com,,"Second location of popular Omaha bakery serves pillow-soft cinnamon rolls, savory scones, cookie sandwiches, cake and more."
184,Taqueria El Rey,South Omaha,"5201 S 24th St, Omaha, NE 68107",,(402) 502-0674,Enjoy a wide variety of Mexican dishes at great prices.
185,Taste of Thailand,Southwest,"15712 W Center, Omaha, NE 68130",,(402) 691-9991,Traditional Thai restaurant with native artwork offering a classic menu and lunch buffet.
186,Taxi's Grille & Bar,Northwest,"1822 N 120th St, Omaha, NE 68154",taxis@restaurantsinc.net,(402) 898-1882,Casual chef driven. Mix of classic and contemporary American. Not changing the culinary landscape. Just making great food every day. Party room available!
187,Ted and Wally's Premium Ice Cream,Downtown / Old Market,"1120 Jackson St, Omaha, NE 68102",,(402) 341-5827,"A sweet Omaha institution churning up fresh homemade ice cream flavors daily, such as Caramel Pecan Pie and Cosmo Coffee Crunch."
188,Thai Spice,Northwest,"2933 N 108th St, Multiple locations, Omaha, NE 68164",,(402) 492-8808,Siamese classics plus chef specials and lunch deals.
189,The Boiler Room Restaurant,Downtown / Old Market,"1110 Jones St, Omaha, NE 68102",info@boilerroomomaha.com,(402) 916-9274,A daily changing menu employing the rustic European dining style.  The Boiler Room is rooted in the belief that quality at the table comes from the ground.
190,The Caddy Shack Bar and Grill,Northwest,"2076 N 117th Ave, Omaha, NE 68164",,(402) 932-3704,"As a family-owned establishment, Caddy Shack Sports Bar and Grill Omaha works hard to earn patronage and provide the food, drinks and atmosphere residents and visitors love."
191,The Cake Gallery,Central,"8427 Hascall St, Omaha, NE 68124",pink@omahacakegallery.com,(402) 397-2253,"Cake bakery specializing in holidays, weddings and other occasions. Plus, ready-to-go items and cupcakes."
192,The Cordial Cherry,Southwest,"16939 Wright Plaza, Suite 143, Omaha, NE 68130",,(402) 679-3011,"A wonderfully whimsical place to enjoy chocolate covered cherry cordials that are like nothing you've seen before. Each chocolate covered cherry cordial is made from scratch and hand-decorated, resulting in one-of-a-kind pieces of chocolate art. The combination of a sweet liquid cordial center with a dark, milk or white chocolate coating is truly divine. You're sure to enjoy eating our unique chocolate cordial cherries as much as you will enjoy looking at them.  The cordial cherries were featured at the 2013 Emmy Awards and Oprah magazine highlighted our cordials in the 2013 December issue of your ‘Favorite Things’ edition."
193,The Drover,Central,"2121 S 73rd St, Omaha, NE 68124",,(402) 391-7440,"Nestled in the heart of Omaha, the iconic Drover is known for their whiskey marinated steaks and Western-style atmosphere. The classic steakhouse's Reuben is a house specialty with a Drover twist, en lieu of corned beef: a mound of slow roasted prime rib."
194,The Matt,Downtown / Old Market,"501 N 13th St, Omaha, NE 68102",,(402) 346-9116,Happening sports bar supplying American pub chow in an 1883 venue with live music & special events.
195,The Observatory Bar and Grill,Southwest,"14525 W Center Rd, Omaha, NE 68144",observatorybarandgrill@yahoo.com,(402) 932-0002,"This sports bar and grill serves up popular wings, beer and a great atmosphere to catch a game."
196,The Tavern,Downtown / Old Market,"514 S 10th St, Omaha, NE 68102",info@thetavernomaha.com,(402) 341-0191,"Choose from a wide range of creative libations served up with art, poetry and DJs. Pet friendly outdoor areas."
197,The Tea Smith - S 78th,Central,"345 N 78th St, Multiple locations, Omaha, NE 68114",tsmith@theteasmith.com,(402) 393-7070,"An unexpected find, The Tea Smith provides artisan-quality loose-leaf teas and accessories; accurate information about tea; and enhanced enjoyment of Life through tea.

We maintain a variety of fresh loose leaf teas (approx. 150) from around the world and all of the tea accessories one needs to create a perfect cup.   Take a new tea home to brew, or relax in our store and let one of the ""Tea Smithies"" prepare a perfect cup of tea while you relax and enjoy a light snack."
198,Tokyo Sushi,Downtown / Old Market,"1215 Howard St, Omaha, NE 68102",,(402) 934-8188,Casual Japanese dining offering all-you-can-eat sushi.
199,TreeTops Restaurant,South Omaha,"3701 S 10th St, Omaha's Henry Doorly Zoo, Omaha, NE 68107",,(402) 733-8401,"Casual, cafeteria-style eatery in the zoo with nature-based decor overlooking the indoor rain forest."
200,Trini's Mexican Restaurant,Downtown / Old Market,"1020 Howard St, Omaha, NE 68102",rich@trinisoldmarket.com,(402) 346-8400,"Enjoy a romantic, intimate Mexican meal by candlelight. Favorites include tacos, enchiladas, burritos and more."
201,Twisted Fork Grill and Saloon,Downtown / Old Market,"1014 Howard St, Omaha, NE 68102",generalmanager@twistedfork.omhcoxmail.com,(402) 932-9600,"The ""Fork"" as it is affectionately known is an eclectic grill and saloon in Omaha's historic Old Market District that serves American comfort food with a ""Cowboy Twist"". 

It blends midwestern hospitality with cowboy bravado and features a collaboration of menu creations from three of Restaurants Inc.'s Executive Chefs, including Omaha's own Executive Chef John Ursick of Stoke's fame, Abdallah Meghzaze formally Executive Chef at the Downtowner Woodfire Grill in Saint Paul, MN and Terry Bovell formally Executive Chef at both The Tasting Room and Danielle's Restaurant in Frederick, MD. Pet friendly outdoor areas."
202,Union Pizzeria & Sports Bar,Northwest,"3636 N 156th St, Omaha, NE 68116",,(402) 614-2755,"Big screens, NYC-style pies & memorabilia in this hotel spot that's also a college world series hub."
204,V. Mertz,Downtown / Old Market,"1022 Howard St, In the Passageway, Omaha, NE 68102",,(402) 345-8980,"An intimate meal for two or a great place to reconnect with friends, V. Mertz offers contemporary American cuisine in the popular Old Market Passageway."
205,Valentino's - Maple St,Northwest,"10190 Maple St, Omaha, NE 68134",,(402) 571-1400,Your place for great-tasting Italian food - the way pizza should be.
206,Village Grinder (Countryside Village),Southwest,"8706 Pacific St, Omaha, NE 68114",,(402) 397-0918,"Offering a variety of coffee drinks, coffee beans, candies and gifts for all. With an assortment of scones, muffins, cinnamon rolls and fresh baked goods, as well as, sandwiches and homemade soups on a daily basis."
207,Villagio Pizzeria,Northwest,"6922 N 102nd Cir, Omaha, NE 68134",villagiopizzeria2@gmail.com,(402) 502-4400,Villagio Pizzeria reopened March 2013 in Cherry Hills Village. It was purchased by a local family and employs 10 individuals. 3 of which are family members. It has continued to use many of the original delicious recipes and menu items from the previous owners. A few new items have been added to the menu from the family favorite cookbooks from home.
208,Vincenzo's Italian Ristorante - Pacific St,Southwest,"15701 Pacific St, Omaha, NE 68130",omaha@vincenzos-ne.com,(402) 498-3889,"Vincenzo’s serves homemade and delicious meals with exceptional service. Serving salads, pastas, pizzas, seafood, steaks and Italian entrees for lunch and dinner any day of the week."
209,Voodoo Taco - Aksarben Village,Central,"2295 S 67th St, Omaha, NE 68106",,(402) 502-2026,"On your next visit to Omaha, stop in for some wicked good tacos and devilishly delicious sides."
210,Wave Bistro,Northwest,"4002 N 144th St, Omaha, NE 68116",wavebistro@gmail.com,(402) 496-8812,"Wave Bistro presents one of the best Asian cuisines in Omaha with a European twist! From dishes such as the Lemon Creamy Almond Shrimp to our Thai Basil Crusted Chicken, Wave Bistro carefully balances between contemporary and traditional food to create a mouth-watering and exciting dining experience that you can't find anywhere else."
211,Wheatfields - One Pacific Place,Southwest,"1224 S 103rd St, Omaha, NE 68124",,(402) 955-1485,"Eatery and bakery with European flair. Simple and elegant foods - breakfast, lunch and dinner. Extensive bakery, deli take-out and catering. (Private parties accommodated)"
212,Wilson and Washburn,Downtown / Old Market,"1407 Harney St, Omaha, NE 68102",,(402) 991-6950,"Featuring 24 craft & import beers on tap, a robust list of wines, scotch, and cordials, and a made from scratch kitchen, Wilson & Washburn lives up to its billing as a serious comfort station."
213,Winchester Bar and Grill,Central,"7002 Q St, Omaha, NE 68117",,(402) 331-9933,"Cheap beer and good food with games, sand volleyball, and karaoke nights."
214,Wong's Hunan Garden,Southwest,"5050 S 108th St, Omaha, NE 68137",,(402) 331-1615,No-nonsense eatery with traditional Korean & Chinese menus and a drive-thru for takeout orders.
215,Zio's Pizzeria - Old Market,Downtown / Old Market,"1109 Howard St, Omaha, NE 68102",,(402) 344-2222,New York style pizza fans will love this Omaha original. Fresh ingredients laid out on hand-stretched crust and baked to perfection.
216,Zio's Pizzeria - W Center,Southwest,"13463 W Center Rd, Omaha, NE 68144",,(402) 330-1444,New York style pizza fans will love this Omaha original. Fresh ingredients laid out on hand-stretched crust and baked to perfection.
217,Zio's Pizzeria - W Dodge,Northwest,"7924 W Dodge Rd, Omaha, NE 68114",,(402) 391-1881,New York style pizza fans will love this Omaha original. Fresh ingredients laid out on hand-stretched crust and baked to perfection.
218,360 Steakhouse,Council Bluffs,"1 Harrahs Blvd, Council Bluffs, IA 51501",,(712) 329-6000,"One of OpenTable's top 100 scenic restaurants in America, 360 Steakhouse delivers an elegant dining experience with a breathtaking view of  the Omaha/Council Bluffs area."
219,402 Eat + Drink,,"17305 Davenport Street, Omaha, NE 68188",,(712) 355-2339,"A chef driven eatery featuring scratch made, contemporary American style dishes, daily specials, wine, craft beers & cocktails, and brunch on Sunday."
220,712 Eat + Drink,Council Bluffs,"1851 Madison Ave Suite 700, Council Bluffs, IA 51503",,(712) 256-5525,"Step into this ultra-hip, contemporary restaurant named for the area code in which it resides. The menu features American classics made from scratch with local produce and locally sourced proteins."
221,72 Table & Tap,South Omaha,"5413 S 72nd St, Omaha, NE 68127",72tableandtap@gmail.com,(402) 592-2605,"A new Ralston neighborhood bar welcoming you to eat, drink, gather, and repeat. Specializing in creative food, craft beer, and bourbon."
222,A Catered Affair,,"8351 N 134th Ave, Omaha, NE 68142",events@acaomaha.com,(402) 614-5200,"A Catered Affair is a family owned company that uses fresh ingredients and homemade recipes. They have a vast menu with breakfast, lunch, dinner, grab & go, special occasion catering, and hors d’oeuvres options. Dine inside or on their patio with coffee, wine and spirits."
223,A Foreign Taste,Northwest,"14242 Fort St, Omaha, NE 68164",aftomaha@gmail.com,(531) 867-8538,"Dedicated to introducing guests to some of the most magnificent wines from around the world and regions, A Foreign Taste serves up a memorable chef-inspired menu. Wine tastings and pairings are available."
224,Acadian Grille,Northwest,"725 N 114th St, Omaha, NE 68154",acadiangrille@gmail.com,(402) 933-0980,"Acadian food, then and now, presents a blend of French and soul food widely beloved not only in Louisiana, but around the world."
225,Addy's Sports Grill - Elkhorn,Northwest,"1515 S 204th St #107, Elkhorn, NE 68022",,(402) 991-2337,"At Addy's, we've always got something special for you. Whether it's our daily food special, $4 drink of the day, or our Best of Omaha Char Buff Hot Wings, one thing's for sure – you'll leave happy."
226,Agave Azteca Mexican Bar & Grill,Northwest,"5170 S 72nd St Suite 106, Omaha, NE 68127",hi@agaveazteca.com,(402) 502-5268,"Enjoy traditional Mexican cuisine in a friendly, customer-focus atmosphere. Bite into authentic burritos, tacos, enchiladas and more."
227,Ahi Sushi Ramen & Grill,Southwest,"12411 W Center Rd, Omaha, NE 68144",,(402) 506-6999,"Ramen, sushi, Asian fusian and hibachi are on offer at this casual spot with outdoor seating."
228,AJ's Cafe,Northwest,"5146 N 90th St, Omaha, NE 68134",,(402) 934-2577,A family-run homestyle cafe serving up delicious breakfast and lunch options for everyone.
229,Akarui,Downtown / Old Market,"1190 Capitol Ave, Suite 120, Omaha, NE 68102",,(531) 600-6788,"Located in the Capitol District, Akarui brings Japanese-style ramen to Omaha. Offering mouthwatering appetizers, ramen, customizable poke bowls, teriyaki bowls, and refreshing boba teas."
230,All Good Food,Southwest,"2521 S 132nd St, Omaha, NE 68144",allgoodfoodforyou@gmail.com,(402) 933-7713,"All Good Food lives up to its name with mouth-watering dishes like the griddled PB & J, meat-loaded Keto bowls, rice bowls, sandwiches, salads and more. Order as healthy as you want, or not!"
231,Alpine Inn,Northeast  / Airport,"10405 Calhoun Rd, Omaha, NE 68112",,(402) 451-9988,"Dine in the ""Home of the Wildlife."" Enjoy the signature fried chicken and feed scraps to friendly raccoons - an Omaha tradition!"
232,Amateur Coffee,Central,"3913 Cuming St, Omaha, NE 68131",jasmyn@drinkamateur.com,(402) 812-9625,"Recharge at this 100% vegan coffee parlor serving up house-roasted coffee drinks, oat milk lattes (including a lineup of Wellness Lattes), and Artemis Teas. Pair your drink with vegan goodies like waffles, donuts and more in this quaint neighborhood spot opened by a vegan couple passionate about coffee."
233,Amazing Pizza Machine,Southwest,"13955 S Plz, Omaha, NE 68137",info@theamazingpizzamachine.com,(402) 829-1777,"Visit the region's top rated, all-indoor entertainment center and our award-winning Amazing Buffet & Arcade Experience!

Enjoy 60,000 square feet of amazing all-indoor fun with rides and attractions including Amazing Quest Laser Tag, Go Karts, Bumper Cars, Mini-Bowling, the Frog Hopper, NEW Mission Vortex thrill ride, and NEW Hologate virtual reality. Don't miss more than 170 of the latest and greatest arcade games. 

Bring your appetite to enjoy UNLIMITED dining at the Amazing Buffet featuring fresh pizza, pasta, salad, soups, breads, nachos, baked potatoes, desserts, soft serve ice cream, beverages and more! Check out our nightly feature buffets, our Luigi's Libations beer and wine bar, and our AMAZING-VALUE buffet and play packages. Dine in your choice of four themed rooms. With seating for over 700, instant dining is always available!

For location, hours, and more information, see AmazingPizzaMachine.com. Buffet or Buffet Play Pack required for admission."
234,Amsterdam Falafel and Kabob,Central,"620 N 50th St, Omaha, NE 68132",,(402) 504-3223,"Kabobs, fresh falafels and killer curry fries, all homemade daily at this Dundee neighborhood favorite. Great late night spot after the bars close. Pet friendly outdoor areas."
235,Andrés Tortillery,Southwest,"10317 Pacific St, Omaha, NE 68124",ra_popp@yahoo.com,(402) 502-2720,"Andres Tortillery features old-world Mexican style cooking that's fresh, healthy, flavorful, and delicious. 
Handcrafted organic corn tortillas are prepared daily along with small batch salsas and guacamole."
236,Angus Burgers & Shakes,South of Metro,"10177 S 168th Ave, Omaha, NE 68136",info@angusburgersandshakes.com,(402) 401-6613,"A local casual eatery serving up locally sourced burgers and steaks. Try a delicious, hand-made milkshake you won't find anywhere else."
237,Archetype Coffee,Midtown,"3926 Farnam St, Omaha, NE 68131",,(402) 934-1489,"Ready for a cup of coffee that will impress? Archetype Coffee's owner and barista  Isaiah Sheese not only won first place in the National Barista Championship at the 2023 US Coffee Championship, but placed fourth in the World Coffee Championship. But even with these impressive accolades, you won't find an ounce of pretentiousness at Archetype's three locations. Friendly, knowledgeable baristas -- including Sheese himself -- welcome everyone to indulge in the caffeinated drink of their dreams."
238,Archetype Coffee - Little Bohemia,South Omaha,"1419 S 13th St, Omaha, NE 68108",,,"Ready for a cup of coffee that will impress? Archetype Coffee's owner and barista  Isaiah Sheese not only won first place in the National Barista Championship at the 2023 US Coffee Championship, but placed fourth in the World Coffee Championship. But even with these impressive accolades, you won't find an ounce of pretentiousness at Archetype's three locations. Friendly, knowledgeable baristas -- including Sheese himself -- welcome everyone to indulge in the caffeinated drink of their dreams."
239,Archetype Coffee - Millwork Commons,Downtown / Old Market,"Ashton, 1229 Millwork Ave, Omaha, NE 68102",,,"Ready for a cup of coffee that will impress? Archetype Coffee's owner and barista  Isaiah Sheese not only won first place in the National Barista Championship at the 2023 US Coffee Championship, but placed fourth in the World Coffee Championship. But even with these impressive accolades, you won't find an ounce of pretentiousness at Archetype's three locations. Friendly, knowledgeable baristas -- including Sheese himself -- welcome everyone to indulge in the caffeinated drink of their dreams."
240,Astoria Biryani House,Southwest,"5010 S 108th St, Omaha, NE 68137",astoriaomaha@gmail.com,(402) 934-5054,Astoria Biryani House offers a blend of traditional Hyderabadi Dum Biryani cuisine and innovative Indian dishes.
241,Au Courant Regional Kitchen,Central,"6064 Maple St, Omaha, NE 68104",info@aucourantrestaurant.com,(402) 505-9917,A European-influenced meal with a focus on regional ingredients. Enjoy an ever-changing menu in a friendly and affordable atmosphere. Check the website for the most current offerings.
242,Backyard Elotes,Southwest,"16827 Q St, Omaha, NE 68135",,,"Elotes, classic Mexican street food of corn on the cob, is given the royal treatment here slathered in mayo cream sauce and garnished with chili powder, Cotija cheese and lime. Add a variety of sauces or crumbled chips to taste."
243,Bad Seed Coffee & Supply,Downtown / Old Market,"2452 ½ Harney St, Omaha, NE 68131",,(402) 639-7783,"Masters of coffee and scrumptious accompanying snacks. Muglife is dedicated to preparing coffee that respects the producer, pleases the drinker, and exceeds expectations."
244,Bagel Bin,Southwest,"1215 S 119th St, Omaha, NE 68114",,(402) 334-2744,All natural New York-Style Bagels baked fresh daily by a locally-owned and family-operated kosher establishment. Great for a breakfast and lunch option.
245,Beacon Hills,Central,"6750 Mercy Rd, Omaha, NE 68106",,(402) 933-3115,Enjoy classic American dishes made from scratch and served with Midwestern hospitality.
246,Bernie's Original Pizza Parlor,Southwest,"13522 Cottner St, Omaha, NE 68137",,(402) 895-4433,"The original Bernie's Pizza is back and serving up pizza so special you'll say it's ""Love at First Bite."""
247,Best Burger,North Omaha,"2112 N 30th 2nd Floor, The Dining @ The Accelerator, Omaha, NE 68112",,(531) 999-1308,"Located in the Florence community, Best Burger. is a family owned fast casual dining experience- in other words, a burger takeout joint!"
248,Beyond Golf Bar + Kitchen,South of Metro,"12040 McDermott Plz Suite 300, La Vista, NE 68128",info@beyondgolf.com,(402) 916-4727,"Enjoy a round of indoor golf while enjoying gourmet food, craft cocktails and a full bar."
249,Big Green Q,Southwest,"5402 S 108th St, Omaha, NE 68137",bgqtruck@gmail.com,,"Big Green Q is a farm to table food truck running on compressed natural gas. Inspired by BBQ food coming off the Big Green Egg, Kevin & Gail brought their truck to life. In addition to local veggies, the rest of their ingredients for menu items are local wherever possible."
250,Big Red Restaurant & Sports Bar,Northwest,"8100 Cass St, Omaha, NE 68114",,(402) 390-9495,"Big Red Restaurant takes Husker fandom to the next level. This game-day hub features juicy 1/2 lb burgers, jumbo wings and a fun, friendly atmosphere. Be sure to check out our heated patio and sand volleyball courts."
251,BigWay Catfish,Southwest,"4725 S 96th St, Omaha, NE 68127",,(402) 319-1615,Stop in while you're in town and grab a tasty chicken sandwich and mouth-watering ice cream.
252,Birrieria El Chalan,South Omaha,"4516 S 24th St, Omaha, NE 68107",,(402) 734-2488,A family-owned Mexican restaurant featuring handmade fresh tortillas and fast service.
253,Black Bottom Biscotti,North Omaha,"4724 N 24th St, Omaha, NE 68111",bbbiscotti@gmail.com,(402) 618-3867,"The best biscotti this side of Italy is now in Omaha, NE! Black Bottom Biscotti is baked to be crisp and flavorful, and then hand dipped in decadent dark chocolate or white chocolate before being individually packaged for freshness."
254,Blatt Beer & Table West,Southwest,"2835 S 170th Plz Suite 200, Omaha, NE 68130",,(402) 697-7802,"Blatt Beer & Table is a pub food restaurant and craft beer bar with a warm and inviting atmosphere rooted in local history. We provide a simple space to gather and engage over good food and great beer. You’ll enjoy Blatt Beer & Table as a destination to catch the game, or a gathering place for family and acquaintances.

Join us around the table. The beer is great, and the company is even better."
255,Blue & Fly Asian Kitchen,Central,"721 S 72nd St, Omaha, NE 68114",,(402) 504-6545,A mom-and-pop Chinese restaurant offering offering a variety of traditional Chinese dishes made fresh and from scratch.
256,Blue Line Coffee Dundee,Central,"4924 Underwood Ave, Omaha, NE 68132",,(402) 502-6707,"Homey cafe offering WiFi and light bites, plus baristas crafting fair-trade espresso drinks."
257,Boiling Claws Food Truck,Northwest,"9002 Maple St, Check our Facebook for more locations, Omaha, NE 68134",info@boilingclaws.com,(402) 807-0530,"An Omaha original, Boiling Claws is serving up unforgettable seafood, wings, and brunch."
259,Brick Oven Pizzeria,Southwest,"624 S 72nd St, Omaha, NE 68114",duane@thebrickovenpizzeria.com,(402) 393-2270,"Discover fresh, brick oven New York style pizza in Omaha. Featuring whole pies, giant slices, monster calzones, with vegan and vegetarian options galore."
260,Brick Street Tavern,Southwest,"4936 S 135th St, Omaha, NE 68137",,(402) 359-1604,
261,Bronco's - 120th St,Southwest,"1123 S 120th St, Omaha, NE 68144",broncosomaha@gmail.com,(402) 334-7477,"Known for 100% ground beef burgers, Bronco's still makes its French fries daily from fresh, whole potatoes!"
262,Bronco's - Leavenworth,Central,"4540 Leavenworth St, Omaha, NE 68106",broncosomaha@gmail.com,(402) 551-7477,"Known for 100% ground beef burgers, Bronco's still makes its French fries daily from fresh, whole potatoes!"
263,Brownie Bar - Rockbrook Village,Southwest,"2821 S 108th St, Omaha, NE 68124",browniebartender@gmail.com,(402) 682-8090,"When you crave a brownie and can only find donuts, cupcakes and cookie shops – it’s time to go to Brownie Bar and build your own brownie! Brownie Bar makes all brownies and toppings from scratch with real ingredients (real butter, real vanilla, real cream, real fruit, etc.). Try a brownie flight in Omaha, or enjoy a piece of Brownie Bar away with a box of brownies or monthly subscription."
264,Brushi European American Cuisine,Northwest,"721 N 132nd St, Omaha, NE 68154",info@brushiomaha.com,(402) 884-6878,"Fresh European and American fare served with unique twists from the chef. Try the tender braised beef short ribs served with soft polenta or flavorful paella with seafood, chicken, and veggies."
265,Burger Theory,Downtown / Old Market,"1420 Cuming St, Omaha, NE 68102",,(402) 449-2222,"Located inside the Holiday Inn Downtown Omaha, Burger Theory serves up traditional American cuisine for breakfast, lunch and dinner."
266,Burrito Envy and Tequila Bar,Central,"6113 Maple St, Omaha, NE 68104",info@burritoenvy.com,(402) 614-0870,"You're first and last stop in Benson neighborhood. Open late, Burrito Envy offers an array of tequila drinks and Mexican favorites.  Enjoy an envy chicken taco or Cuban burrito stuffed with fried plantains."
267,Bärchen Beer Garden,Central,"6209 N Maple St, Omaha, NE 68104",barchenbeer@gmail.com,(402) 502-9902,"Cheers to German, Belgian, & Scandinavian craft beers! What pairs better with these brews than hearty sandwiches, fresh sausages, and soft pretzels? Nothing. Stop by Bärchen for an authentic experience."
268,Caddy's Kitchen & Cocktails,Council Bluffs,"115 W Broadway, Council Bluffs, IA 51503",brian@caddyskitchenandcocktails.com,(712) 256-0070,"Scratch-made American cuisine, classic cocktails, and craft-brewed beers."
269,Cafe Botanica,Southwest,"10319 Pacific St, Omaha, NE 68114",omaha@cafe-botanica.com,(402) 403-9084,"Dig into a menu that's as delicious as it is healthy. Cafe Botanica features smoothies, fresh and cold-pressed juices, wraps, salads, toasts and more. Sip a warm superlatte, snack on fresh baked goods and appreciate the warm inviting vibe as you nurture your body and soul."
270,Cafe Diem,South of Metro,"9839 S 96th St#109, Papillion, NE 68046",cafediem96@gmail.com,(402) 339-4110,"Cafe Diem serves made from scratch breakfast and lunch bites in their casual, comfortable dining room. Eat outdoors on their pet friendly patio or grab your food to go with their convenient drive thru window."
271,Café Postale,Downtown / Old Market,"950 S 10th St, Omaha, NE 68108",info@cafepostaleomaha.com,(402) 999-9209,"An eatery with the charm of a coffeehouse and the beauty of an event venue, Cafe Postale is a cafe in a historic building serving breakfast, lunch and evening bites. Chef-prepared options include a Chicken & Waffles Sandwich, Vegetarian Omelet Sandwich, and Cobb Salad Wrap. New: Open in the evening and serving small bites and charcuterie with libations. If you fall in love with the space, there's good news: The space is available for special events."
272,Cajun Crab and Pho,Central,"346 Saddle Creek Rd, Omaha, NE 68131",,(531) 999-3088,"Cajun Crab and Pho serves Vietnamese food including Pho, Banh Mi, Bun and Fried Rice as well as boiled and fried seafood. Adjust the spice level to your liking."
273,Cake by the Pound at Ruby's Place,Central,"5913 Maple St, Omaha, NE 68104",,(402) 614-9435,Family-style take out featuring catfish dinners and home-cooked southern dishes and desserts.
274,Camille's Bakery,Southwest,"8717 Countryside Plz, Omaha, NE 68114",,(402) 502-7300,Enjoy gourmet sweet and savory goodies while you explore Countryside Village.
275,Caribbean Delights,Northwest,"2403 N 72nd St, Omaha, NE 68134",,(402) 391-1081,Omaha's premier authentic Jamaican restaurant specializing in unique Caribbean cuisine.
276,Carter & Rye,Central,"3544 Center St, Omaha, NE 68105",carterandrye@gmail.com,,"Woman-owned neighborhood bakery offering sweet and savory hand pies made from scratch using fresh, local ingredients whenever possible. After grabbing your portable snack, head to nearby Hanscom Park to enjoy."
277,Centi,Downtown / Old Market,"1031 Jones St, Inside Hardy Coffee Co., Omaha, NE 68102",centiartisan@gmail.com,(402) 522-6791,"Centi is serving locally made artisan gelato. Offering ready to-go cups and pints, you can enjoy in-house gelato flights, macaron sandwiches all alongside a cup of coffee. Their flavors rotate weekly with vegan offerings"
278,Chaikhana Bar & Shiskabobs,Northwest,"2329 N 90th St, Omaha, NE 68134",chayhanaomaha@gmail.com,(402) 979-5555,"Chikhana (def: teahouse) is the first restaurant of it's kind in Omaha. Offering mouthwatering homemade dishes, charming ambience and friendly staff will transport you to the oasis of Central Asia."
279,Chaima's African Cuisine,Southwest,"5060 S 107th St, Omaha, NE 68127",chaimaafricanfood@gmail.com,(402) 905-4748,"Authentic African cuisine featuring from-scratch meat pies, fried plantains, Riz Creole, Fufu and more."
280,Charleston's - Crossroads,Northwest,"7540 Dodge St, Omaha, NE 68114",,(402) 991-0055,"Charleston's is the perfect spot to enjoy a weekday work lunch, date night before a movie or drinks and apps before an event."
281,Charred Burger + Bar,Southwest,"1150 Sterling Ridge Dr, Omaha, NE 68144",,(402) 779-8430,"""Better beef means a better burger."" This phrase is the basis for every patty served at Charred. Locally raised Wagyu beef, seared chicken breast, spiced chorizo help build a menu dedicated to hearty, crowd-pleasing sandwiches."
282,Cheeseburgers,Midtown,"3926 Farnam St, Omaha, NE 68131",info@ineedcheeseburgers.com,(531) 466-7995,"Cheeseburgers is the Blackstone District's groovy take-out joint. Serving up smashed burgers, chicken fingers, hot dogs, fries and shakes."
283,Cheeseburgers - Millard,Southwest,"6610 S 168th St Suite 10, Omaha, NE 68135",info@ineedcheeseburgers.com,(402) 991-9088,"Cheeseburgers in Millard serves up their famous take-out style smashed burgers, chicken fingers, hot dogs, fries and shakes."
284,Chippy's Omaha,Southwest,"2718 S 123rd Ct, Omaha, NE 68144",manager@chippysomaha.com,(402) 330-3020,"We are Nebraska's only British Market & Bakery. Chippy's Omaha includes a full range of imported British food, drinks, products, gifts, souvenirs, & fresh baked goods."
285,Chocolat Abeille,South of Metro,"555 Cornhusker Rd Suite 210, Bellevue, NE 68005",tina@chocolatabeille.com,(402) 315-9006,"Pure joy is a chocolate drop away. Discover pure bliss with a quick visit to Chocolat Abeille, a family owned chocolate boutique. Specializing in handcrafted treats, local honey, and sweet art, Chocolat Abeille is a great spot to sweeten your weekend."
286,Cibo Vino,Downtown / Old Market,"1101 Jackson St, Omaha, NE 68102",,(402) 505-5322,"Celebrate life one meal at a time at Cibo Vino, where the food is fresh and the wine flows."
